city1,city2,year,distance,total_passengers,estimated_revenue,avg_fare,route,revenue_decile,route_performance_group
"Albany, NY","Chicago, IL",2010,723.0,1239,252144.06,203.50610169491526,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2011,723.0,1228,273608.11,222.80790716612375,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2012,723.0,1207,287805.9,238.4473073736537,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2013,723.0,1177,295396.67,250.97423109600678,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2014,723.0,1202,311306.85,258.9907237936772,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2015,723.0,1197,303963.58,253.93782790309106,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2016,723.0,1251,310696.02999999997,248.35813749000798,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2017,723.0,1238,310285.86,250.63478190630047,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2018,723.0,1214,317564.35,261.5851317957166,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2019,723.0,1172,316720.44999999995,270.2392918088737,"Albany, NY → Chicago, IL",4,Middle 80%
"Albany, NY","Chicago, IL",2020,723.0,125,18404.14,147.23311999999999,"Albany, NY → Chicago, IL",1,Bottom 10%
"Albany, NY","Chicago, IL",2021,723.0,752,159774.49,212.46607712765956,"Albany, NY → Chicago, IL",3,Middle 80%
"Albany, NY","Chicago, IL",2022,723.0,1100,237911.44,216.28312727272728,"Albany, NY → Chicago, IL",3,Middle 80%
"Albany, NY","Chicago, IL",2023,723.0,1071,251781.58000000002,235.09017740429508,"Albany, NY → Chicago, IL",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2010,2467.0,824,229332.96,278.3166990291262,"Albany, NY → Los Angeles, CA (Metropolitan Area)",4,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2011,2468.0,650,206823.25,318.18961538461537,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2012,2468.0,634,200723.87,316.5991640378549,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2013,2468.0,763,259135.38,339.6269724770642,"Albany, NY → Los Angeles, CA (Metropolitan Area)",4,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2014,2468.0,622,226933.7,364.84517684887464,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2015,2468.0,661,228797.88,346.1390015128593,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2016,2468.0,881,285048.57,323.5511577752554,"Albany, NY → Los Angeles, CA (Metropolitan Area)",4,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2017,2468.0,873,281769.36,322.7598625429553,"Albany, NY → Los Angeles, CA (Metropolitan Area)",4,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2018,2468.0,929,301868.83,324.9395371367062,"Albany, NY → Los Angeles, CA (Metropolitan Area)",4,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2019,2468.0,692,247013.69999999998,356.95621387283234,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2020,2468.0,30,7980.069999999999,266.0023333333333,"Albany, NY → Los Angeles, CA (Metropolitan Area)",1,Bottom 10%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2021,2468.0,378,139991.31,370.34738095238095,"Albany, NY → Los Angeles, CA (Metropolitan Area)",3,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2022,2468.0,217,99863.63,460.2010599078341,"Albany, NY → Los Angeles, CA (Metropolitan Area)",2,Middle 80%
"Albany, NY","Los Angeles, CA (Metropolitan Area)",2023,2468.0,240,99512.39,414.6349583333333,"Albany, NY → Los Angeles, CA (Metropolitan Area)",1,Bottom 10%
"Albany, NY","Miami, FL (Metropolitan Area)",2010,1225.0,1326,247592.89,186.72163650075416,"Albany, NY → Miami, FL (Metropolitan Area)",4,Middle 80%
"Albany, NY","Miami, FL (Metropolitan Area)",2011,1225.0,1251,244124.12,195.14318145483614,"Albany, NY → Miami, FL (Metropolitan Area)",4,Middle 80%
"Albany, NY","Miami, FL (Metropolitan Area)",2012,1225.0,1376,272253.63,197.85874273255814,"Albany, NY → Miami, FL (Metropolitan Area)",4,Middle 80%
